name,price,description,image_url
Taxa de Entrega - 20,"R$  20,00",,https://pps.whatsapp.net/v/t61.24694-24/417264387_384876187930064_8820911194925487447_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wGMpUSB9NQf_NcFaGkD_y2g-zcDnFbdV7dG9I3mLGygQg&oe=6A4CF37B&_nc_sid=5e03e0&_nc_cat=100
Taxa de Entrega - 15,"R$  15,00",,https://pps.whatsapp.net/v/t61.24694-24/608185390_1200245824861138_3758212696246454151_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wGzwVyf6zJRO6QTYmD4pzXAE_mPWgqiRXGr3kyQiJ0qGg&oe=6A4CF3F3&_nc_sid=5e03e0&_nc_cat=103
Taxa de Entrega - 10,"R$  10,00",,https://pps.whatsapp.net/v/t61.24694-24/427560946_780325250752815_7877201149043420681_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFi-q9yFhNie9RNIy8fr43m52Dv1ymsopufvNKUVBC4kw&oe=6A4CF0DA&_nc_sid=5e03e0&_nc_cat=103
LR- Difusor Rose 120 ml,"R$  99,90","Acompanha kit com 4 varetas de fibra. O Rose é uma fragrância mais floral, formada pelos acordes de rosas perfumadas, em harmonia com o Jasmim  branco e Gardênias. É um floral bem marcante.",https://pps.whatsapp.net/v/t61.24694-24/352168652_213280114891846_4321523630858259220_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wGZ1r-J3RTuy2rzDqRoOQMqNnLYtx5XM4b7xSNhqPRFiw&oe=6A4CF9E5&_nc_sid=5e03e0&_nc_cat=110
Bandeja oval de cerâmica,"R$  169,90","Tamanho -  26,5 x 14 cm Cor: branca, preta, Rosa",https://pps.whatsapp.net/v/t61.24694-24/675492183_890715043362704_9094208632116139688_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wEw3ZEV7bi6EV2g7Ts2TXwenEcdjxpIDEmgzqOMPvajKA&oe=6A4CD623&_nc_sid=5e03e0&_nc_cat=107
Rosa difusora de Gesso,"R$  25,00",,https://pps.whatsapp.net/v/t61.24694-24/307526515_836217277520455_7735274421572061813_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wEjKWZCLY6BSt-Kb0x4LUqf-X30BcpaSLnBH7IVk_Uu9Q&oe=6A4CE81A&_nc_sid=5e03e0&_nc_cat=104
LLo- Home Spray L’or 250 ml,"R$  84,90","Ideal para borrifar no ambiente. L’OR É uma mistura cítrica e amadeirada bem intensa, compõe um aroma firme, marcante, vivo e envolvente.",https://pps.whatsapp.net/v/t61.24694-24/661442552_1534716194857477_5105216941357704893_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wGkpQp7F0ESCPSWJVb0hVqwSpH78Alojvnn_flO9z0Mtg&oe=6A4CED77&_nc_sid=5e03e0&_nc_cat=104
LLo- Difusor L’or 250 ml,"R$  89,90","L’OR É uma mistura cítrica e amadeirada bem intensa, compõe um aroma firme, marcante, vivo e envolvente.",https://pps.whatsapp.net/v/t61.24694-24/467956308_2630756293979126_2186986818153667645_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFJbecE6XPoimS2qUvnXJaniMjAjJewK3jKGvAcG-hdIg&oe=6A4D08E1&_nc_sid=5e03e0&_nc_cat=100
LLo- Água Perfumada L’or 500 ml,"R$  119,90","Ideal para borrifar em tecidos. ️L’OR É uma mistura cítrica e amadeirada bem intensa, compõe um aroma firme, marcante, vivo e envolvente.",https://pps.whatsapp.net/v/t61.24694-24/713843158_967093676099412_1654977130517314359_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFkPL6RpMVp97tKQ0HUoMfZg_671bJJ1rM8-KPRqChJwQ&oe=6A4D07B8&_nc_sid=5e03e0&_nc_cat=110
Home spray para Carro,"R$  69,90",Home spray para borrifar e renovar o cheiro do seu carro.,https://pps.whatsapp.net/v/t61.24694-24/534427967_4326345361021601_7023381043415896959_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wHmprsAdNORCt5JoQy1eHYbtbzE7iSdYvMLwkslOBKqKw&oe=6A4CE4E6&_nc_sid=5e03e0&_nc_cat=110
LBla- Sabonete Líquido Blanc 250 ml,"R$  119,90",O Blanc é uma fragrância cítrica refrescante formada por um mix de chá branco combinado com a energia da flor de limão e o floral das margaridas.,https://pps.whatsapp.net/v/t61.24694-24/534427929_1296284942676688_1182389061522350109_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wEgffm2Sz6QkjmK2fnvcjZDbTjXJJkDwUiXo3vI8PlotQ&oe=6A4CFD55&_nc_sid=5e03e0&_nc_cat=103
LBla- Álcool em gel 70º 60 ml,"R$  49,90","Para a sua proteção diária, ideal para guardar em bolsas, ou espaços pequenos.  Hidrata e auxilia no combate de vírus e bactérias. O Blanc é uma fragrância cítrica refrescante formada por um mix de chá branco combinado com a energia da flor de limão e o floral das margaridas.",https://pps.whatsapp.net/v/t61.24694-24/675502804_4434855423509998_6006619785777526552_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wHvcYSf1SFLl9p5Q_LOrQUytCm9q6DPAbW0uFoZuXnUTg&oe=6A4CF174&_nc_sid=5e03e0&_nc_cat=109
LBle- Home Spray Bleu 240 ml,"R$  129,90","Ideal para borrifar no ambiente.  O Bleu é uma fragrância com toque fresco, levemente cítrico, aromático (sálvia) e pouco amadeirado. Contém Ambreta, sal marinho, algas marinhas e toranja.",https://pps.whatsapp.net/v/t61.24694-24/491841895_1253335226190144_5487855925550557413_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wHr_mb0_SAtaDXZtLQWVmAq-06TVojRjui9-H0OWZl_bg&oe=6A4CD35C&_nc_sid=5e03e0&_nc_cat=106
Porta guardanapo de Libélula,"R$  79,90",4 unidades,https://pps.whatsapp.net/v/t61.24694-24/644592219_1501503141377151_2653951610505859417_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFVJ6kCI_bybEFtMtkr8TYCcD39jIjTQYHyHvq4ciE4ag&oe=6A4D07F8&_nc_sid=5e03e0&_nc_cat=107
